,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Credit-Card,Phone-No,Address
195,196,1,1,"Lurette, Miss. Elise",female,58.0,0,0,PC 17569,146.5208,C,942-769-8064,-2295966648,3777 kk-Miami
196,197,0,3,"Mernagh, Mr. Robert",male,,0,0,368703,7.75,Q,923-999-9050,-1182360703,2361 klt-Phoenix
197,198,0,3,"Olsen, Mr. Karl Siegwart Andreas",male,42.0,0,1,4579,8.4042,S,732-292-5081,-9944181215,4336 xt-Chicago
198,199,1,3,"Madigan, Miss. Margaret ""Maggie""",female,,0,0,370370,7.75,Q,864-676-8855,-6063953701,9966 ab-Los Angeles
199,200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24.0,0,0,248747,13.0,S,885-958-9907,-9489977244,428 93-Philadelphia
200,201,0,3,"Vande Walle, Mr. Nestor Cyriel",male,28.0,0,0,345770,9.5,S,239-857-6864,-5875765672,4358 02-New York
201,202,0,3,"Sage, Mr. Frederick",male,,8,2,CA. 2343,69.55,S,592-921-6771,-1805155073,110 02-New York
202,203,0,3,"Johanson, Mr. Jakob Alfred",male,34.0,0,0,3101264,6.4958,S,841-644-9574,-8499886464,5369 kk-Miami
203,204,0,3,"Youseff, Mr. Gerious",male,45.5,0,0,2628,7.225,C,914-824-2575,-1417087853,4920 93-Philadelphia
204,205,1,3,"Cohen, Mr. Gurshon ""Gus""",male,18.0,0,0,A/5 3540,8.05,S,803-196-5027,-2035424042,522 02-New York
205,206,0,3,"Strom, Miss. Telma Matilda",female,2.0,0,1,347054,10.4625,S,862-619-5881,-1108178435,8932 93-Philadelphia
206,207,0,3,"Backstrom, Mr. Karl Alfred",male,32.0,1,0,3101278,15.85,S,936-409-6498,-4488910382,4853 xt-Chicago
207,208,1,3,"Albimona, Mr. Nassef Cassem",male,26.0,0,0,2699,18.7875,C,411-114-5084,-3459336667,1384 xt-Chicago
208,209,1,3,"Carr, Miss. Helen ""Ellen""",female,16.0,0,0,367231,7.75,Q,351-521-3268,-3631157971,9212 02-New York
209,210,1,1,"Blank, Mr. Henry",male,40.0,0,0,112277,31.0,C,534-965-5262,-2601282663,3579 93-Philadelphia
210,211,0,3,"Ali, Mr. Ahmed",male,24.0,0,0,SOTON/O.Q. 3101311,7.05,S,559-493-9586,-3954651732,4609 93-Philadelphia
211,212,1,2,"Cameron, Miss. Clear Annie",female,35.0,0,0,F.C.C. 13528,21.0,S,193-491-8872,-3983340807,4076 klt-Phoenix
212,213,0,3,"Perkin, Mr. John Henry",male,22.0,0,0,A/5 21174,7.25,S,553-115-7976,-6873359336,6368 93-Philadelphia
213,214,0,2,"Givard, Mr. Hans Kristensen",male,30.0,0,0,250646,13.0,S,311-516-3434,-9984926903,4327 121-Dallas
214,215,0,3,"Kiernan, Mr. Philip",male,,1,0,367229,7.75,Q,259-138-6190,-9688136894,2473 ab-Los Angeles
215,216,1,1,"Newell, Miss. Madeleine",female,31.0,1,0,35273,113.275,C,333-144-7125,-8834335391,6499 02-New York
216,217,1,3,"Honkanen, Miss. Eliina",female,27.0,0,0,STON/O2. 3101283,7.925,S,710-490-5550,-9214097594,1318 900-Houston
217,218,0,2,"Jacobsohn, Mr. Sidney Samuel",male,42.0,1,0,243847,27.0,S,988-136-7593,-1309782594,9673 kk-Miami
218,219,1,1,"Bazzani, Miss. Albina",female,32.0,0,0,11813,76.2917,C,437-970-7325,-7421746440,2473 xt-Chicago
219,220,0,2,"Harris, Mr. Walter",male,30.0,0,0,W/C 14208,10.5,S,215-870-8392,-1359386226,6822 kk-Miami
220,221,1,3,"Sunderland, Mr. Victor Francis",male,16.0,0,0,SOTON/OQ 392089,8.05,S,902-146-3517,-3473498110,9874 900-Houston
221,222,0,2,"Bracken, Mr. James H",male,27.0,0,0,220367,13.0,S,769-794-8468,-7730726938,7363 93-Philadelphia
222,223,0,3,"Green, Mr. George Henry",male,51.0,0,0,21440,8.05,S,827-646-1912,-8332279018,1088 klt-Phoenix
223,224,0,3,"Nenkoff, Mr. Christo",male,,0,0,349234,7.8958,S,549-951-8678,-8350896861,2798 121-Dallas
224,225,1,1,"Hoyt, Mr. Frederick Maxfield",male,38.0,1,0,19943,90.0,S,191-100-4200,-4462434655,5030 klt-Phoenix
225,226,0,3,"Berglund, Mr. Karl Ivar Sven",male,22.0,0,0,PP 4348,9.35,S,574-873-6548,-4576663530,3591 02-New York
226,227,1,2,"Mellors, Mr. William John",male,19.0,0,0,SW/PP 751,10.5,S,373-365-8818,-9587835293,137 xt-Chicago
227,228,0,3,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0,0,A/5 21173,7.25,S,535-521-5225,-6092748652,9137 ab-Los Angeles
228,229,0,2,"Fahlstrom, Mr. Arne Jonas",male,18.0,0,0,236171,13.0,S,401-593-5737,-1727230344,6254 xt-Chicago
229,230,0,3,"Lefebre, Miss. Mathilde",female,,3,1,4133,25.4667,S,223-134-3927,-8861674264,1604 kk-Miami
230,231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.0,1,0,36973,83.475,S,303-666-2415,-9423940491,394 121-Dallas
231,232,0,3,"Larsson, Mr. Bengt Edvin",male,29.0,0,0,347067,7.775,S,912-832-1699,-4844350120,583 02-New York
232,233,0,2,"Sjostedt, Mr. Ernst Adolf",male,59.0,0,0,237442,13.5,S,982-401-9919,-2365192761,9825 xt-Chicago
233,234,1,3,"Asplund, Miss. Lillian Gertrud",female,5.0,4,2,347077,31.3875,S,675-242-8576,-6237462418,9591 kk-Miami
234,235,0,2,"Leyson, Mr. Robert William Norman",male,24.0,0,0,C.A. 29566,10.5,S,219-821-6301,-2840561362,2566 klt-Phoenix
235,236,0,3,"Harknett, Miss. Alice Phoebe",female,,0,0,W./C. 6609,7.55,S,110-227-5058,-2084611290,6757 ab-Los Angeles
236,237,0,2,"Hold, Mr. Stephen",male,44.0,1,0,26707,26.0,S,673-780-2636,-4185973950,9686 kk-Miami
237,238,1,2,"Collyer, Miss. Marjorie ""Lottie""",female,8.0,0,2,C.A. 31921,26.25,S,998-509-5049,-5513716115,4793 93-Philadelphia
238,239,0,2,"Pengelly, Mr. Frederick William",male,19.0,0,0,28665,10.5,S,846-527-2256,-5909361828,5631 ab-Los Angeles
239,240,0,2,"Hunt, Mr. George Henry",male,33.0,0,0,SCO/W 1585,12.275,S,603-824-1567,-3799020101,1456 ab-Los Angeles
240,241,0,3,"Zabour, Miss. Thamine",female,,1,0,2665,14.4542,C,984-362-2164,-4326118893,7686 klt-Phoenix
241,242,1,3,"Murphy, Miss. Katherine ""Kate""",female,,1,0,367230,15.5,Q,326-813-6690,-5617869375,8007 02-New York
242,243,0,2,"Coleridge, Mr. Reginald Charles",male,29.0,0,0,W./C. 14263,10.5,S,927-210-3934,-7721874177,2336 ab-Los Angeles
243,244,0,3,"Maenpaa, Mr. Matti Alexanteri",male,22.0,0,0,STON/O 2. 3101275,7.125,S,506-586-3125,-8399186246,9423 kk-Miami
244,245,0,3,"Attalah, Mr. Sleiman",male,30.0,0,0,2694,7.225,C,435-212-3927,-2968416678,8154 93-Philadelphia
245,246,0,1,"Minahan, Dr. William Edward",male,44.0,2,0,19928,90.0,Q,337-611-3712,-2279393473,8124 kk-Miami
246,247,0,3,"Lindahl, Miss. Agda Thorilda Viktoria",female,25.0,0,0,347071,7.775,S,495-384-8912,-2899382778,1964 93-Philadelphia
247,248,1,2,"Hamalainen, Mrs. William (Anna)",female,24.0,0,2,250649,14.5,S,647-364-4139,-9789929616,156 ab-Los Angeles
248,249,1,1,"Beckwith, Mr. Richard Leonard",male,37.0,1,1,11751,52.5542,S,213-616-9226,-3999040650,1770 02-New York
249,250,0,2,"Carter, Rev. Ernest Courtenay",male,54.0,1,0,244252,26.0,S,621-271-1852,-6405421764,3659 121-Dallas
250,251,0,3,"Reed, Mr. James George",male,,0,0,362316,7.25,S,965-704-1492,-6392510393,540 kk-Miami
251,252,0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29.0,1,1,347054,10.4625,S,599-327-2487,-9038591633,7342 02-New York
252,253,0,1,"Stead, Mr. William Thomas",male,62.0,0,0,113514,26.55,S,491-800-3062,-7893455971,6263 02-New York
253,254,0,3,"Lobb, Mr. William Arthur",male,30.0,1,0,A/5. 3336,16.1,S,877-550-7360,-7914910986,8195 121-Dallas
254,255,0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41.0,0,2,370129,20.2125,S,323-719-4082,-7478890248,5887 02-New York
255,256,1,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29.0,0,2,2650,15.2458,C,361-811-1501,-2299415719,919 121-Dallas
256,257,1,1,"Thorne, Mrs. Gertrude Maybelle",female,,0,0,PC 17585,79.2,C,338-268-9354,-6416576203,8838 xt-Chicago
257,258,1,1,"Cherry, Miss. Gladys",female,30.0,0,0,110152,86.5,S,257-592-4751,-7250392118,8556 klt-Phoenix
258,259,1,1,"Ward, Miss. Anna",female,35.0,0,0,PC 17755,512.3292,C,696-537-6806,-1663542053,5521 kk-Miami
259,260,1,2,"Parrish, Mrs. (Lutie Davis)",female,50.0,0,1,230433,26.0,S,185-104-9791,-8821246795,2115 93-Philadelphia
260,261,0,3,"Smith, Mr. Thomas",male,,0,0,384461,7.75,Q,980-376-1829,-4523369526,9651 kk-Miami
261,262,1,3,"Asplund, Master. Edvin Rojj Felix",male,3.0,4,2,347077,31.3875,S,205-711-8134,-5771540585,7413 klt-Phoenix
262,263,0,1,"Taussig, Mr. Emil",male,52.0,1,1,110413,79.65,S,839-476-2381,-7789303698,1693 93-Philadelphia
263,264,0,1,"Harrison, Mr. William",male,40.0,0,0,112059,0.0,S,532-722-2725,-5961074094,1995 kk-Miami
264,265,0,3,"Henry, Miss. Delia",female,,0,0,382649,7.75,Q,882-637-3921,-1911023991,4473 klt-Phoenix
265,266,0,2,"Reeves, Mr. David",male,36.0,0,0,C.A. 17248,10.5,S,237-636-2602,-7802453985,3426 02-New York
266,267,0,3,"Panula, Mr. Ernesti Arvid",male,16.0,4,1,3101295,39.6875,S,990-925-9333,-9984047376,1338 900-Houston
267,268,1,3,"Persson, Mr. Ernst Ulrik",male,25.0,1,0,347083,7.775,S,995-248-8702,-4880411159,2794 93-Philadelphia
268,269,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58.0,0,1,PC 17582,153.4625,S,983-460-2713,-8666723042,2510 ab-Los Angeles
269,270,1,1,"Bissette, Miss. Amelia",female,35.0,0,0,PC 17760,135.6333,S,316-345-1937,-2621369306,2637 02-New York
270,271,0,1,"Cairns, Mr. Alexander",male,,0,0,113798,31.0,S,816-558-9034,-2299556345,7194 900-Houston
271,272,1,3,"Tornquist, Mr. William Henry",male,25.0,0,0,LINE,0.0,S,375-481-5056,-3548846484,9764 klt-Phoenix
272,273,1,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41.0,0,1,250644,19.5,S,820-938-9110,-4210130586,9808 02-New York
273,274,0,1,"Natsch, Mr. Charles H",male,37.0,0,1,PC 17596,29.7,C,164-352-8190,-6143195825,6547 ab-Los Angeles
274,275,1,3,"Healy, Miss. Hanora ""Nora""",female,,0,0,370375,7.75,Q,566-899-9771,-2899751553,1197 ab-Los Angeles
275,276,1,1,"Andrews, Miss. Kornelia Theodosia",female,63.0,1,0,13502,77.9583,S,963-558-4474,-3950366514,9684 121-Dallas
276,277,0,3,"Lindblom, Miss. Augusta Charlotta",female,45.0,0,0,347073,7.75,S,780-682-4437,-8663955024,9341 ab-Los Angeles
277,278,0,2,"Parkes, Mr. Francis ""Frank""",male,,0,0,239853,0.0,S,304-340-9624,-3957613562,4932 900-Houston
278,279,0,3,"Rice, Master. Eric",male,7.0,4,1,382652,29.125,Q,475-918-5900,-3283151741,7486 ab-Los Angeles
279,280,1,3,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35.0,1,1,C.A. 2673,20.25,S,907-796-7557,-4974448186,2376 93-Philadelphia
280,281,0,3,"Duane, Mr. Frank",male,65.0,0,0,336439,7.75,Q,628-462-3719,-6009314116,6055 02-New York
281,282,0,3,"Olsson, Mr. Nils Johan Goransson",male,28.0,0,0,347464,7.8542,S,231-280-7931,-6763949186,6229 121-Dallas
282,283,0,3,"de Pelsmaeker, Mr. Alfons",male,16.0,0,0,345778,9.5,S,655-354-1696,-4742269763,3850 93-Philadelphia
283,284,1,3,"Dorking, Mr. Edward Arthur",male,19.0,0,0,A/5. 10482,8.05,S,849-595-5312,-1430960294,7672 93-Philadelphia
284,285,0,1,"Smith, Mr. Richard William",male,,0,0,113056,26.0,S,461-905-9921,-1643562381,1134 02-New York
285,286,0,3,"Stankovic, Mr. Ivan",male,33.0,0,0,349239,8.6625,C,938-533-4470,-7145389052,689 93-Philadelphia
286,287,1,3,"de Mulder, Mr. Theodore",male,30.0,0,0,345774,9.5,S,118-215-7805,-1362803656,1646 ab-Los Angeles
287,288,0,3,"Naidenoff, Mr. Penko",male,22.0,0,0,349206,7.8958,S,961-844-3099,-8940340306,5157 klt-Phoenix
288,289,1,2,"Hosono, Mr. Masabumi",male,42.0,0,0,237798,13.0,S,607-924-9673,-8858596697,7840 ab-Los Angeles
289,290,1,3,"Connolly, Miss. Kate",female,22.0,0,0,370373,7.75,Q,721-705-2981,-7263348786,9455 klt-Phoenix
290,291,1,1,"Barber, Miss. Ellen ""Nellie""",female,26.0,0,0,19877,78.85,S,487-775-1086,-5017546608,6349 900-Houston
291,292,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0,1,0,11967,91.0792,C,788-576-7094,-5946285473,1076 02-New York
292,293,0,2,"Levy, Mr. Rene Jacques",male,36.0,0,0,SC/Paris 2163,12.875,C,889-965-4036,-3707064276,4466 900-Houston
293,294,0,3,"Haas, Miss. Aloisia",female,24.0,0,0,349236,8.85,S,985-846-4589,-2652947787,2240 xt-Chicago
294,295,0,3,"Mineff, Mr. Ivan",male,24.0,0,0,349233,7.8958,S,632-528-1947,-2282491545,8754 ab-Los Angeles
295,296,0,1,"Lewy, Mr. Ervin G",male,,0,0,PC 17612,27.7208,C,424-467-5502,-1055336430,7662 klt-Phoenix
296,297,0,3,"Hanna, Mr. Mansour",male,23.5,0,0,2693,7.2292,C,198-600-8997,-7309165251,3054 xt-Chicago
297,298,0,1,"Allison, Miss. Helen Loraine",female,2.0,1,2,113781,151.55,S,686-985-4815,-8824450142,9192 xt-Chicago
298,299,1,1,"Saalfeld, Mr. Adolphe",male,,0,0,19988,30.5,S,108-541-7986,-9704397869,1059 klt-Phoenix
299,300,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50.0,0,1,PC 17558,247.5208,C,220-167-5835,-9334265769,141 121-Dallas
300,301,1,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,,0,0,9234,7.75,Q,158-534-3952,-8386784822,9234 121-Dallas
301,302,1,3,"McCoy, Mr. Bernard",male,,2,0,367226,23.25,Q,741-360-1255,-6556739745,8686 xt-Chicago
302,303,0,3,"Johnson, Mr. William Cahoone Jr",male,19.0,0,0,LINE,0.0,S,172-282-2873,-7504320007,3032 klt-Phoenix
303,304,1,2,"Keane, Miss. Nora A",female,,0,0,226593,12.35,Q,473-468-5337,-4534896429,2949 klt-Phoenix
304,305,0,3,"Williams, Mr. Howard Hugh ""Harry""",male,,0,0,A/5 2466,8.05,S,824-554-7357,-7589654951,2867 ab-Los Angeles
305,306,1,1,"Allison, Master. Hudson Trevor",male,0.92,1,2,113781,151.55,S,263-219-7007,-2996446458,184 kk-Miami
306,307,1,1,"Fleming, Miss. Margaret",female,,0,0,17421,110.8833,C,118-685-4236,-4519865153,1682 121-Dallas
307,308,1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17.0,1,0,PC 17758,108.9,C,121-694-8404,-1985067907,319 kk-Miami
308,309,0,2,"Abelson, Mr. Samuel",male,30.0,1,0,P/PP 3381,24.0,C,173-944-7693,-6876942096,2313 121-Dallas
309,310,1,1,"Francatelli, Miss. Laura Mabel",female,30.0,0,0,PC 17485,56.9292,C,112-648-3005,-8952518095,3097 xt-Chicago
310,311,1,1,"Hays, Miss. Margaret Bechstein",female,24.0,0,0,11767,83.1583,C,973-507-2548,-3535534558,9620 02-New York
311,312,1,1,"Ryerson, Miss. Emily Borie",female,18.0,2,2,PC 17608,262.375,C,782-108-9462,-3371257840,6344 ab-Los Angeles
312,313,0,2,"Lahtinen, Mrs. William (Anna Sylfven)",female,26.0,1,1,250651,26.0,S,251-634-9723,-1122112682,3254 ab-Los Angeles
313,314,0,3,"Hendekovic, Mr. Ignjac",male,28.0,0,0,349243,7.8958,S,779-931-9018,-2245063526,2607 02-New York
314,315,0,2,"Hart, Mr. Benjamin",male,43.0,1,1,F.C.C. 13529,26.25,S,196-768-5866,-5507997301,9608 93-Philadelphia
315,316,1,3,"Nilsson, Miss. Helmina Josefina",female,26.0,0,0,347470,7.8542,S,342-305-3869,-8923204495,4960 xt-Chicago
316,317,1,2,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24.0,1,0,244367,26.0,S,393-980-2628,-2246067902,5823 klt-Phoenix
317,318,0,2,"Moraweck, Dr. Ernest",male,54.0,0,0,29011,14.0,S,578-473-8106,-9903113858,5683 ab-Los Angeles
318,319,1,1,"Wick, Miss. Mary Natalie",female,31.0,0,2,36928,164.8667,S,379-641-2749,-6306415750,2192 93-Philadelphia
319,320,1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40.0,1,1,16966,134.5,C,853-872-7293,-4660262442,2534 kk-Miami
320,321,0,3,"Dennis, Mr. Samuel",male,22.0,0,0,A/5 21172,7.25,S,777-314-3244,-1329358853,667 121-Dallas
321,322,0,3,"Danoff, Mr. Yoto",male,27.0,0,0,349219,7.8958,S,179-232-5545,-1455784205,8075 xt-Chicago
322,323,1,2,"Slayter, Miss. Hilda Mary",female,30.0,0,0,234818,12.35,Q,628-312-1694,-3842762768,4940 121-Dallas
323,324,1,2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22.0,1,1,248738,29.0,S,700-792-8033,-6190905590,3791 klt-Phoenix
324,325,0,3,"Sage, Mr. George John Jr",male,,8,2,CA. 2343,69.55,S,849-539-3565,-5426535379,1322 ab-Los Angeles
325,326,1,1,"Young, Miss. Marie Grice",female,36.0,0,0,PC 17760,135.6333,C,598-629-4298,-2356366167,1352 02-New York
326,327,0,3,"Nysveen, Mr. Johan Hansen",male,61.0,0,0,345364,6.2375,S,719-389-5593,-8363228361,3140 xt-Chicago
327,328,1,2,"Ball, Mrs. (Ada E Hall)",female,36.0,0,0,28551,13.0,S,508-573-5615,-4993400734,9200 klt-Phoenix
328,329,1,3,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,31.0,1,1,363291,20.525,S,705-116-7277,-4904650796,8743 02-New York
329,330,1,1,"Hippach, Miss. Jean Gertrude",female,16.0,0,1,111361,57.9792,C,912-932-7012,-9658591586,9104 02-New York
330,331,1,3,"McCoy, Miss. Agnes",female,,2,0,367226,23.25,Q,831-575-9935,-8249863879,5291 klt-Phoenix
331,332,0,1,"Partner, Mr. Austen",male,45.5,0,0,113043,28.5,S,198-366-2530,-8617109101,7839 121-Dallas
332,333,0,1,"Graham, Mr. George Edward",male,38.0,0,1,PC 17582,153.4625,S,491-740-8501,-9797311031,5242 93-Philadelphia
333,334,0,3,"Vander Planke, Mr. Leo Edmondus",male,16.0,2,0,345764,18.0,S,940-148-6479,-2383762018,9785 900-Houston
334,335,1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,,1,0,PC 17611,133.65,S,239-435-9654,-6569815471,5396 900-Houston
335,336,0,3,"Denkoff, Mr. Mitto",male,,0,0,349225,7.8958,S,168-357-3733,-4686614854,2069 02-New York
336,337,0,1,"Pears, Mr. Thomas Clinton",male,29.0,1,0,113776,66.6,S,710-353-7609,-8335660419,9996 900-Houston
337,338,1,1,"Burns, Miss. Elizabeth Margaret",female,41.0,0,0,16966,134.5,C,104-283-5325,-5942926002,1746 ab-Los Angeles
338,339,1,3,"Dahl, Mr. Karl Edwart",male,45.0,0,0,7598,8.05,S,271-137-3577,-4074264837,8535 02-New York
339,340,0,1,"Blackwell, Mr. Stephen Weart",male,45.0,0,0,113784,35.5,S,588-951-7565,-6221722487,1436 xt-Chicago
340,341,1,2,"Navratil, Master. Edmond Roger",male,2.0,1,1,230080,26.0,S,549-829-4296,-9504007317,5392 02-New York
341,342,1,1,"Fortune, Miss. Alice Elizabeth",female,24.0,3,2,19950,263.0,S,858-843-8796,-5918040611,4335 ab-Los Angeles
342,343,0,2,"Collander, Mr. Erik Gustaf",male,28.0,0,0,248740,13.0,S,202-720-6478,-9114944434,3576 ab-Los Angeles
343,344,0,2,"Sedgwick, Mr. Charles Frederick Waddington",male,25.0,0,0,244361,13.0,S,172-718-2597,-6719383550,685 02-New York
344,345,0,2,"Fox, Mr. Stanley Hubert",male,36.0,0,0,229236,13.0,S,748-302-2810,-4898270017,4921 ab-Los Angeles
345,346,1,2,"Brown, Miss. Amelia ""Mildred""",female,24.0,0,0,248733,13.0,S,628-826-8359,-6988885881,1474 900-Houston
346,347,1,2,"Smith, Miss. Marion Elsie",female,40.0,0,0,31418,13.0,S,228-560-5190,-7855328344,6203 02-New York
347,348,1,3,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,,1,0,386525,16.1,S,296-976-7287,-6237634649,1706 02-New York
348,349,1,3,"Coutts, Master. William Loch ""William""",male,3.0,1,1,C.A. 37671,15.9,S,358-818-1085,-3764523720,9337 900-Houston
349,350,0,3,"Dimic, Mr. Jovan",male,42.0,0,0,315088,8.6625,S,839-964-9410,-6337391448,4355 klt-Phoenix
350,351,0,3,"Odahl, Mr. Nils Martin",male,23.0,0,0,7267,9.225,S,685-892-5706,-8570279973,7125 xt-Chicago
351,352,0,1,"Williams-Lambert, Mr. Fletcher Fellows",male,,0,0,113510,35.0,S,680-455-1707,-3606185646,7115 02-New York
352,353,0,3,"Elias, Mr. Tannous",male,15.0,1,1,2695,7.2292,C,904-237-3033,-3787183978,1064 02-New York
353,354,0,3,"Arnold-Franchi, Mr. Josef",male,25.0,1,0,349237,17.8,S,541-953-6052,-3136098330,5225 93-Philadelphia
354,355,0,3,"Yousif, Mr. Wazli",male,,0,0,2647,7.225,C,365-838-4218,-2006559218,5626 121-Dallas
355,356,0,3,"Vanden Steen, Mr. Leo Peter",male,28.0,0,0,345783,9.5,S,280-698-1055,-4457149912,7147 xt-Chicago
356,357,1,1,"Bowerman, Miss. Elsie Edith",female,22.0,0,1,113505,55.0,S,449-148-3433,-6563450510,4853 93-Philadelphia
357,358,0,2,"Funk, Miss. Annie Clemmer",female,38.0,0,0,237671,13.0,S,262-651-5025,-8226844776,8361 900-Houston
358,359,1,3,"McGovern, Miss. Mary",female,,0,0,330931,7.8792,Q,546-519-9882,-6022151629,7935 900-Houston
359,360,1,3,"Mockler, Miss. Helen Mary ""Ellie""",female,,0,0,330980,7.8792,Q,330-500-2931,-7977740924,5909 93-Philadelphia
360,361,0,3,"Skoog, Mr. Wilhelm",male,40.0,1,4,347088,27.9,S,693-725-2711,-5656266678,5907 02-New York
361,362,0,2,"del Carlo, Mr. Sebastiano",male,29.0,1,0,SC/PARIS 2167,27.7208,C,569-972-9488,-2963125067,3713 93-Philadelphia
362,363,0,3,"Barbara, Mrs. (Catherine David)",female,45.0,0,1,2691,14.4542,C,211-963-3162,-3345920655,2928 ab-Los Angeles
363,364,0,3,"Asim, Mr. Adola",male,35.0,0,0,SOTON/O.Q. 3101310,7.05,S,700-678-3293,-7983332272,3608 02-New York
364,365,0,3,"O'Brien, Mr. Thomas",male,,1,0,370365,15.5,Q,930-480-2302,-8567369068,9997 02-New York
365,366,0,3,"Adahl, Mr. Mauritz Nils Martin",male,30.0,0,0,C 7076,7.25,S,260-226-9300,-9666534121,4098 ab-Los Angeles
366,367,1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60.0,1,0,110813,75.25,C,209-326-7348,-9725957155,5103 ab-Los Angeles
367,368,1,3,"Moussa, Mrs. (Mantoura Boulos)",female,,0,0,2626,7.2292,C,664-564-7326,-7298466236,4060 93-Philadelphia
368,369,1,3,"Jermyn, Miss. Annie",female,,0,0,14313,7.75,Q,217-365-7472,-7435020346,5437 kk-Miami
369,370,1,1,"Aubart, Mme. Leontine Pauline",female,24.0,0,0,PC 17477,69.3,C,878-808-6812,-7739086807,5044 121-Dallas
370,371,1,1,"Harder, Mr. George Achilles",male,25.0,1,0,11765,55.4417,C,736-566-5784,-2947646335,8291 02-New York
371,372,0,3,"Wiklund, Mr. Jakob Alfred",male,18.0,1,0,3101267,6.4958,S,121-141-9858,-9593938469,5362 900-Houston
372,373,0,3,"Beavan, Mr. William Thomas",male,19.0,0,0,323951,8.05,S,336-373-2386,-8161308052,2550 klt-Phoenix
373,374,0,1,"Ringhini, Mr. Sante",male,22.0,0,0,PC 17760,135.6333,C,778-292-6512,-9729705042,3123 02-New York
374,375,0,3,"Palsson, Miss. Stina Viola",female,3.0,3,1,349909,21.075,S,139-570-2598,-5092844566,587 121-Dallas
375,376,1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,,1,0,PC 17604,82.1708,C,309-445-4415,-6479249991,4319 93-Philadelphia
376,377,1,3,"Landergren, Miss. Aurora Adelia",female,22.0,0,0,C 7077,7.25,S,947-893-8365,-1088696037,2325 xt-Chicago
377,378,0,1,"Widener, Mr. Harry Elkins",male,27.0,0,2,113503,211.5,C,785-748-2461,-6632407477,2614 ab-Los Angeles
378,379,0,3,"Betros, Mr. Tannous",male,20.0,0,0,2648,4.0125,C,180-971-2566,-8991994380,944 klt-Phoenix
379,380,0,3,"Gustafsson, Mr. Karl Gideon",male,19.0,0,0,347069,7.775,S,268-848-5571,-5912722281,4296 kk-Miami
380,381,1,1,"Bidois, Miss. Rosalie",female,42.0,0,0,PC 17757,227.525,C,665-457-9839,-5754297113,5890 kk-Miami
381,382,1,3,"Nakid, Miss. Maria (""Mary"")",female,1.0,0,2,2653,15.7417,C,207-277-5948,-7873158829,2169 kk-Miami
382,383,0,3,"Tikkanen, Mr. Juho",male,32.0,0,0,STON/O 2. 3101293,7.925,S,836-408-6385,-8610493854,888 ab-Los Angeles
383,384,1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35.0,1,0,113789,52.0,S,844-540-2128,-1112883765,5659 xt-Chicago
384,385,0,3,"Plotcharsky, Mr. Vasil",male,,0,0,349227,7.8958,S,284-169-5561,-4458561840,7956 93-Philadelphia
385,386,0,2,"Davies, Mr. Charles Henry",male,18.0,0,0,S.O.C. 14879,73.5,S,251-120-9784,-8193428714,9738 kk-Miami
386,387,0,3,"Goodwin, Master. Sidney Leonard",male,1.0,5,2,CA 2144,46.9,S,117-356-1495,-4832102826,389 xt-Chicago
387,388,1,2,"Buss, Miss. Kate",female,36.0,0,0,27849,13.0,S,376-537-9730,-8609788474,5355 kk-Miami
388,389,0,3,"Sadlier, Mr. Matthew",male,,0,0,367655,7.7292,Q,262-886-8226,-3859583153,3228 93-Philadelphia
389,390,1,2,"Lehmann, Miss. Bertha",female,17.0,0,0,SC 1748,12.0,C,400-338-9073,-2197126818,6161 02-New York
390,391,1,1,"Carter, Mr. William Ernest",male,36.0,1,2,113760,120.0,S,319-476-3477,-3384125265,9293 93-Philadelphia
391,392,1,3,"Jansson, Mr. Carl Olof",male,21.0,0,0,350034,7.7958,S,491-743-4657,-8500587298,775 900-Houston
392,393,0,3,"Gustafsson, Mr. Johan Birger",male,28.0,2,0,3101277,7.925,S,166-336-4341,-4591502034,8574 kk-Miami
